Gene stable ID	Gene name	Gene description	Gene type	WikiGene name	Gene stable ID version
ENSG00000000003	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	protein_coding	TSPAN6	ENSG00000000003.15
ENSG00000000005	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	protein_coding	TNMD	ENSG00000000005.6
ENSG00000000419	DPM1	dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]	protein_coding	DPM1	ENSG00000000419.14
ENSG00000000457	SCYL3	SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]	protein_coding	SCYL3	ENSG00000000457.14
ENSG00000000460	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	protein_coding	C1orf112	ENSG00000000460.17
ENSG00000000938	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	protein_coding	FGR	ENSG00000000938.13
ENSG00000000971	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	protein_coding	CFH	ENSG00000000971.17
ENSG00000001036	FUCA2	alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]	protein_coding	FUCA2	ENSG00000001036.14
ENSG00000001084	GCLC	glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	protein_coding	GCLC	ENSG00000001084.13
ENSG00000001167	NFYA	nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804]	protein_coding	NFYA	ENSG00000001167.15
ENSG00000001461	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	protein_coding	NIPAL3	ENSG00000001461.17
ENSG00000001497	LAS1L	LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	protein_coding	LAS1L	ENSG00000001497.18
ENSG00000001561	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]	protein_coding	ENPP4	ENSG00000001561.7
ENSG00000001617	SEMA3F	semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]	protein_coding	SEMA3F	ENSG00000001617.12
ENSG00000001626	CFTR	CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884]	protein_coding	CFTR	ENSG00000001626.18
ENSG00000001629	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	protein_coding	ANKIB1	ENSG00000001629.10
ENSG00000001630	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	protein_coding	CYP51A1	ENSG00000001630.18
ENSG00000001631	KRIT1	KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]	protein_coding	KRIT1	ENSG00000001631.17
ENSG00000002330	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	protein_coding	BAD	ENSG00000002330.14
ENSG00000002549	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	protein_coding	LAP3	ENSG00000002549.13
ENSG00000002586	CD99	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	protein_coding	CD99	ENSG00000002586.20
ENSG00000002587	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]	protein_coding	HS3ST1	ENSG00000002587.10
ENSG00000002726	AOC1	amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]	protein_coding	AOC1	ENSG00000002726.21
ENSG00000002745	WNT16	Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]	protein_coding	WNT16	ENSG00000002745.13
ENSG00000002746	HECW1	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]	protein_coding	HECW1	ENSG00000002746.15
ENSG00000002822	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	protein_coding	MAD1L1	ENSG00000002822.16
ENSG00000002834	LASP1	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]	protein_coding	LASP1	ENSG00000002834.18
ENSG00000002919	SNX11	sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]	protein_coding	SNX11	ENSG00000002919.15
ENSG00000002933	TMEM176A	transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]	protein_coding	TMEM176A	ENSG00000002933.9
ENSG00000003056	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	protein_coding	M6PR	ENSG00000003056.8
ENSG00000003096	KLHL13	kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]	protein_coding	KLHL13	ENSG00000003096.15
ENSG00000003137	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	protein_coding	CYP26B1	ENSG00000003137.9
ENSG00000003147	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	protein_coding	ICA1	ENSG00000003147.19
ENSG00000003249	DBNDD1	dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]	protein_coding	DBNDD1	ENSG00000003249.15
ENSG00000003393	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	protein_coding	ALS2	ENSG00000003393.16
ENSG00000003400	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	protein_coding	CASP10	ENSG00000003400.16
ENSG00000003402	CFLAR	CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]	protein_coding	CFLAR	ENSG00000003402.21
ENSG00000003436	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	protein_coding	TFPI	ENSG00000003436.16
ENSG00000003509	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]	protein_coding	NDUFAF7	ENSG00000003509.16
ENSG00000003756	RBM5	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]	protein_coding	RBM5	ENSG00000003756.17
ENSG00000004139	SARM1	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]	protein_coding	SARM1	ENSG00000004139.14
ENSG00000004399	PLXND1	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]	protein_coding	PLXND1	ENSG00000004399.13
ENSG00000004455	AK2	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]	protein_coding	AK2	ENSG00000004455.18
ENSG00000004468	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	protein_coding	CD38	ENSG00000004468.13
ENSG00000004478	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	protein_coding	FKBP4	ENSG00000004478.8
ENSG00000004487	KDM1A	lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]	protein_coding	KDM1A	ENSG00000004487.18
ENSG00000004534	RBM6	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]	protein_coding	RBM6	ENSG00000004534.15
ENSG00000004660	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]	protein_coding	CAMKK1	ENSG00000004660.15
ENSG00000004700	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	protein_coding	RECQL	ENSG00000004700.16
ENSG00000004766	VPS50	VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]	protein_coding	VPS50	ENSG00000004766.17
ENSG00000004776	HSPB6	heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]	protein_coding	HSPB6	ENSG00000004776.13
ENSG00000004777	ARHGAP33	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]	protein_coding	ARHGAP33	ENSG00000004777.19
ENSG00000004779	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	protein_coding	NDUFAB1	ENSG00000004779.10
ENSG00000004799	PDK4	pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]	protein_coding	PDK4	ENSG00000004799.8
ENSG00000004809	SLC22A16	solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]	protein_coding	SLC22A16	ENSG00000004809.14
ENSG00000004838	ZMYND10	zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]	protein_coding	ZMYND10	ENSG00000004838.14
ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]	protein_coding	ABCB5	ENSG00000004846.17
ENSG00000004864	SLC25A13	solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]	protein_coding	SLC25A13	ENSG00000004864.14
ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	protein_coding	ST7	ENSG00000004866.22
ENSG00000004866	ST7	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]	protein_coding	ST7-OT3	ENSG00000004866.22
ENSG00000004897	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	protein_coding	CDC27	ENSG00000004897.12
ENSG00000004939	SLC4A1	solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]	protein_coding	SLC4A1	ENSG00000004939.16
ENSG00000004948	CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	protein_coding	CALCR	ENSG00000004948.16
ENSG00000004961	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	protein_coding	HCCS	ENSG00000004961.15
ENSG00000004975	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	protein_coding	DVL2	ENSG00000004975.12
ENSG00000005001	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	protein_coding	PRSS22	ENSG00000005001.10
ENSG00000005007	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	protein_coding	UPF1	ENSG00000005007.13
ENSG00000005020	SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	protein_coding	SKAP2	ENSG00000005020.13
ENSG00000005022	SLC25A5	solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]	protein_coding	SLC25A5	ENSG00000005022.6
ENSG00000005059	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	protein_coding	MCUB	ENSG00000005059.16
ENSG00000005073	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	protein_coding	HOXA11	ENSG00000005073.6
ENSG00000005075	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	protein_coding	POLR2J	ENSG00000005075.16
ENSG00000005102	MEOX1	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]	protein_coding	MEOX1	ENSG00000005102.14
ENSG00000005108	THSD7A	thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]	protein_coding	THSD7A	ENSG00000005108.17
ENSG00000005156	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	protein_coding	LIG3	ENSG00000005156.12
ENSG00000005175	RPAP3	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]	protein_coding	RPAP3	ENSG00000005175.10
ENSG00000005187	ACSM3	acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]	protein_coding	ACSM3	ENSG00000005187.12
ENSG00000005189	REXO5	RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]	protein_coding	REXO5	ENSG00000005189.20
ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]	protein_coding	CIAPIN1	ENSG00000005194.15
ENSG00000005238	FAM214B	family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]	protein_coding	FAM214B	ENSG00000005238.20
ENSG00000005243	COPZ2	COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]	protein_coding	COPZ2	ENSG00000005243.10
ENSG00000005249	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]	protein_coding	PRKAR2B	ENSG00000005249.13
ENSG00000005302	MSL3	MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]	protein_coding	MSL3	ENSG00000005302.19
ENSG00000005339	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	protein_coding	CREBBP	ENSG00000005339.15
ENSG00000005379	TSPOAP1	TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]	protein_coding	TSPOAP1	ENSG00000005379.17
ENSG00000005381	MPO	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]	protein_coding	MPO	ENSG00000005381.9
ENSG00000005421	PON1	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]	protein_coding	PON1	ENSG00000005421.9
ENSG00000005448	WDR54	WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]	protein_coding	WDR54	ENSG00000005448.17
ENSG00000005469	CROT	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]	protein_coding	CROT	ENSG00000005469.12
ENSG00000005471	ABCB4	ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]	protein_coding	ABCB4	ENSG00000005471.19
ENSG00000005483	KMT2E	lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]	protein_coding	KMT2E	ENSG00000005483.23
ENSG00000005486	RHBDD2	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]	protein_coding	RHBDD2	ENSG00000005486.17
ENSG00000005513	SOX8	SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]	protein_coding	SOX8	ENSG00000005513.10
ENSG00000005700	IBTK	inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]	protein_coding	IBTK	ENSG00000005700.15
ENSG00000005801	ZNF195	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]	protein_coding	ZNF195	ENSG00000005801.18
ENSG00000005844	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	protein_coding	ITGAL	ENSG00000005844.19
ENSG00000005882	PDK2	pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]	protein_coding	PDK2	ENSG00000005882.12
ENSG00000005884	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	protein_coding	ITGA3	ENSG00000005884.18
ENSG00000005889	ZFX	zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]	protein_coding	ZFX	ENSG00000005889.16
ENSG00000005893	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	protein_coding	LAMP2	ENSG00000005893.16
ENSG00000005961	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	protein_coding	ITGA2B	ENSG00000005961.19
ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]	protein_coding	ASB4	ENSG00000005981.13
ENSG00000006015	REX1BD	required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]	protein_coding	REX1BD	ENSG00000006015.18
